TwitterID,words
anyatynio,"hshtg_sctweets,hshtg_tcot,today,jobs,obama,help,great,health,carolina,day,health care,care,need,thank,click,grateful,support,people,washington,government"
vangie4congress,"vote,thank,support,carolina,conservative,meet,today,primary,hard,tomorrow,great,sanctuary,tonight,people,congratulations,friends,come,4th,election,happy"
repbrendanboyle,"mnton_realdonaldtrump,republican,thank,great,good,nice,wonderful,time,continue,day,president trump,trump,days,county,america,president,military,god bless,interview,support"
teamroby,"calvert,hshtg_tcot,hshtg_gop,rep,california,obama,pelosi,democrats,vote,mnton_nrcc,tax,jobs,press,gop,county,house,voters,new,today,republican"
studlydevine,"congress,running,virginia,plan,make,people,support,let,elected,thank,help,today,district,need,campaign,day,va,women,thanks,great"
markpocan,"great,mnton_congboyle,trump,today,gop,day,time,house,thank,congrats,president,thanks,happy,people,like,meeting,forward,congress,looking,tonight"
ayannapressley,"today,join,tonight,great,help,calls,conservative,day,30,ll,pelosi,vote,tomorrow,need,make,come,support,thanks,don,message"
kathycastorfl,"mnton_realdonaldtrump,trump,president,district,liberal,congress,media,president trump,years,game,vote,million,history,nancy,thank,left,republican,know,mnton_potus,people"
senatorbrakey,"hshtg_mdpolitics,candidate,red,county,icymi,district,committee,like,people,poll,state,listen,don,want,live,governor,week,campaign,check,senate"
harryforct,"hshtg_mapoli,today,city,thank,women,support,hearing,join,community,day,time,work,annual,love,people,proud,need,great,new,year"
gregformontana,"florida,trump,vote,families,today,health,join,america,let,gop,great,people,care,thanks,time,day,right,senate,women,thank"
gregtryan4us,"american,great,continue,illegal,make,work,vote,economy,support,strong,jobs,proud,stop,time,thank,enjoyed,fight,day,early,sure"
paultonko,"hshtg_gagop,hshtg_gapol,government,liberty,constitution,america,reagan,people,join,need,help,today,country,obamacare,debt,conservative,great,freedom,vote,support"
katyforcongress,"thank,support,thanks,state,debate,today,congressman,tax,growth,american,running,healthcare,time,democrats,campaign,congress,help,americans,immigration,great"
gregpencein,"hshtg_mtpol,great,governor,need,today,morning,thanks,state,jobs,time,thank,leadership,high,tax,day,support,great time,ve,new,gt"
joshuascottca32,"great,thank,district,congressional district,congressional,country,county,day,candidate,support,week,2nd,night,hall,town,speaking,weekend,jobs,looking,running"
lizforindiana,"hshtg_mapoli,primary,week,republican,night,join,west,need,tune,michigan,prayers,forget,message,political,candidates,congratulations,nation,voters,team,ll"
christineforwa,"county,6th,day,today,great,district,night,enjoyed,team,lincoln day,time,thanks,friends,county gop,fair,lincoln,election,dinner,stop,meeting"
votecasten,"people,california,israel,trump,candidate,republican,congress,mnton_realdonaldtrump,president trump,office,ca,president,vote,iran,tax,forget,cuts,hshtg_israel,support,taxes"
romney4utah,"california,thank,san,thanks,love,help,congress,ll,people,today,tonight,running,like,mnton_foxnews,candidate,vote,time,border,tune,happy"
collinpeterson,"people,thank,working,women,care,support,health,congress,need,tax,today,let,work,health care,time,trump,great,families,make,vote"
benniegthompson,"trump,republicans,today,tax,people,president,make,congress,care,health,time,senate,tonight,thank,gop,join,nation,america,4th,democrats"
nancysoderberg,"trump,tax,health,americans,care,republicans,gop,health care,families,plan,american,people,middle,cuts,class,time,working,senate,mnton_realdonaldtrump,mnton_potus"
loriuscongress,"mnton_nrcc,post,illegal,today,ice,issues,great,people,district,congress,debate,time,day,thank,10,state,win,vote,parade,policies"
jballcampaign,"hshtg_utpol,mnton_mittromney,today,county,thanks,senate,state,day,morning,tomorrow,tonight,meeting,meet,days,night,join,great,city,vote,visit"
johnfasony,"thank,rep,committee,today,support,great,congressman,visit,election,friend,house,important,meet,campaign,thanks,11,new,hshtg_ca24,working,parade"
kevincramer,"today,house,security,congressman,trump,rights,americans,day,great,discuss,statement,state,president,time,congressional,republicans,morning,congress,act,health"
mikekellyforpa,"love,life,free,national,ca,best,new,00,birthday,real,man,check,way,live,report,4th,time,true,twitter,story"
rashidatlaib,"hshtg_mapoli,thank,today,great,women,day,support,proud,time,need,vote,morning,tonight,campaign,congress,sure,voters,community,work,make"
adrbell,"trump,stand,vote,district,mnton_realdonaldtrump,thank,great,america,campaign,mnton_drphilroe,country,house,law,help,time,candidate,mnton_drmarkgreen4tn,republican,president,today"
votesanjaypatel,"hshtg_ny19,ny,new,gt,gt gt,support,today,great,thank,county,obama,plan,thanks,local,happy,day,campaign,icymi,act,tax"
scottforflorida,"mnton_realdonaldtrump,north,energy,gt,today,great,house,gt gt,day,parade,facebook album,thanks,photos facebook,posted,obama,debate,album,support,campaign,good"
hugocongress,"dr,texas,team,conservatives,congress,thank,retweet,paul,signs,grateful,taxes,citizens,center,leadership,friend,leaders,economy,honored,candidate,join"
johnmshimkus,"michigan,people,trump,today,community,women,congress,thank,don,need,like,vote,city,work,public,let,mnton_realdonaldtrump,support,time,tax"
ringelsteinme,"great,today,tonight,thanks,support,day,conservative,campaign,happy,join,women,morning,honored,friend,time,congress,county,event,thank,vote"
aftabpureval,"thank,support,meet,local,join,time,virginia,mnton_youtube,great,running,help,meeting,people,pm,let,money,forum,candidate,need,like"
suzandelbene,"hshtg_sayfie,florida,gov,governor,great,jobs,today,state,help,thanks,make,support,team,retweet,vote,thank,work,watch,job,join"
leezeldin,"hugo,john,congress,republican,committee,hshtg_mapoli,thank,state,republicans,congressional,campaign,endorsed,thanks,congressional district,facebook,man,elected,city,debate,district"
clarketucker,"volunteers,great,office,endorsement,supporters,lincoln day,today,morning,calls,enjoyed,lincoln,visit,making,honored,hard,stop,friends,proud,work,campaign"
ryanmcadams4va,"senate,trump,collins,people,money,children,kavanaugh,senator,candidate,let,need,border,big,public,texas,know,american,country,school,vote"
flanders4senate,"great,thanks,ohio,today,county,day,trump,women,thank,people,proud,support,help,tonight,let,steve,office,join,work,need"
gbuck_jr,"today,great,thanks,women,happy,time,endorsement,support,vote,thank,day,honored,campaign,parade,help,work,families,volunteers,working,great time"
carolyn4ga7,"program,ny,help,today,thanks,follow,new,campaign,mnton_foxnews,support,state,senator,press,great,sign,senate,day,legislation,tonight,click"
coreystewartva,"thank,today,great,people,thanks,state,day,time,county,work,good,rep,proud,morning,support,campaign,vote,night,ll,need"
pdtedeschi,"mnton_billspadea,tax,great,thanks,today,thank,day,support,gov,taxes,time,happy,people,new,make,live,gop,tune,stop,law"
mikejohnson,"judge,senate,thank,state,great,join,campaign,senator,need,new,today,day,voters,morning,time,meeting,statement,committee,night,support"
bobbyscott4va3,"thank,virginia,today,day,morning,thanks,support,great,women,honored,work,congress,va,tonight,proud,grateful,opportunity,voters,join,vote"
brianfitzusa,"veteran,florida,house,candidate,thank,great,veterans,district,george,america,god bless,new,running,friends,day,bless,today,god,mnton_realdonaldtrump,looking"
cortvo,"hshtg_gapol,georgia,thank,today,vote,support,great,thanks,day,women,early,join,need,health,make,election,time,campaign,work,morning"
dr_raulruiz,"mnton_coreystewartva,virginia,mnton_realdonaldtrump,illegal,vote,support,senate,trump,left,va,governor,hshtg_maga,president,thank,want,like,great,liberal,need,democrats"
joshua_harder,"hshtg_mapoli,great,today,thank,campaign,support,thanks,time,happy,tonight,day,night,join,friends,tune,team,congressman,congress,family,district"
macthornberry,"mnton_repmikejohnson,louisiana,race,today,time,great,4th,district,congressional,day,congress,campaign,enjoyed,support,friends,state,great time,grateful,thank,conservative"
robertqwilliam1,"great,proud,county,families,support,time,thanks,gt,community,weekend,congress,tax,day,ice,check,washington,today,great time,working,security"
tedracobb,"great,today,people,day,work,campaign,thanks,ll,congress,tonight,vote,morning,working,join,let,support,time,meeting,town,help"
armstrong_nd,"dr,today,facebook,support,thanks,vote,campaign,join,supporters,congress,great,week,volunteers,thank,people,rally,town,tomorrow,make,help"
brianmastfl,"town,thank,support,congress,today,hall,need,immigration,help,district,thanks,people,great,campaign,healthcare,voted,ca,vote,voters,time"
womack4congress,"today,house,texas,week,yesterday,congratulations,day,president,country,passed,obamacare,news,enjoyed,united,great,continue,thank,national,tax,new"
dannykdavis,"carolina,good,morning,great,day,happy,today,friends,thank,family,twitter,let,website,state,vote,visit,time,rep,week,weekend"
robanderson2018,"hshtg_ny21,ny,thank,today,mnton_elisestefanik,great,people,mnton_sengillibrand,need,county,time,women,congress,district,vote,ll,campaign,join,care,new"
mayorlawrence,"great,north,tune,today,thanks,ll,morning,live,thank,time,day,house,great time,support,district,talking,10,republicans,listen,state"
amodeifornevada,"hshtg_argop,uploaded,early,today,vote,steve,early voting,mnton_foxnews,day,county,tonight,voting,mnton_nrcc,campaign,tax,great,congress,happy,gop,mnton_realdonaldtrump"
electfrench,"obamacare,time,texas,hall,john,tx,great,voting,hshtg_tcot,today,god bless,bless,support,early voting,hshtg_obamacare,happy,repeal,campaign,vote,congress"
